age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,2,13,4,0,3,2,1,0,0,35,38
60,0,10,2,0,0,4,1,7298,0,40,38
23,2,13,4,0,3,4,0,0,0,30,38
29,2,16,2,9,0,1,1,0,0,60,18
23,2,10,0,11,3,2,0,0,0,40,38
20,2,10,4,0,3,4,1,0,0,40,40
33,3,12,2,3,0,4,1,0,1887,60,38
43,5,9,0,0,4,4,0,0,0,50,38
30,2,10,2,6,0,4,1,0,0,30,38
35,2,12,3,11,3,2,0,0,0,36,38
48,2,9,0,13,1,4,1,0,0,65,38
42,0,13,2,3,0,4,1,0,0,52,38
43,2,10,2,0,5,4,0,4064,0,15,38
21,2,10,4,9,3,4,1,0,0,40,38
23,0,10,4,2,4,0,1,0,0,40,38
23,2,10,4,5,3,4,1,0,0,35,38
47,2,3,4,8,3,4,0,0,0,40,7
42,2,9,2,13,0,4,1,0,0,50,38
33,5,6,2,5,0,4,1,0,0,40,38
44,2,13,4,0,4,2,0,0,0,40,38
73,2,9,6,7,2,4,0,0,0,32,38
52,4,11,2,2,0,4,1,0,0,40,38
27,2,9,4,11,3,2,1,0,0,60,38
53,2,10,5,3,4,0,0,0,0,15,38
25,2,3,2,5,3,4,1,0,0,40,38
29,5,13,4,9,1,4,1,0,0,50,38
36,1,10,2,10,0,4,1,0,0,57,38
33,2,9,4,0,4,4,0,0,0,40,38
21,2,9,4,2,4,4,1,0,0,35,38
34,5,16,2,12,0,1,1,0,0,20,2
39,2,10,4,6,3,4,1,0,0,40,38
59,2,10,2,11,0,4,1,0,0,50,38
51,4,13,2,3,0,4,1,0,1672,70,38
21,2,9,4,9,4,4,0,0,0,55,38
58,2,13,0,11,1,4,1,0,0,40,38
54,2,14,2,11,0,4,1,0,0,40,38
40,2,11,2,2,0,4,1,0,0,40,38
20,2,10,4,5,3,4,1,0,0,35,38
31,2,10,2,3,0,4,1,0,0,40,4
45,5,9,5,0,3,4,0,0,0,40,38
57,1,9,2,3,0,4,1,0,0,40,38
22,2,10,4,0,3,4,1,0,0,40,38
54,3,9,2,3,0,4,1,0,0,98,38
41,2,13,4,2,1,4,1,0,0,40,38
62,2,15,2,2,0,4,1,0,0,45,38
31,1,14,2,9,0,4,1,0,0,40,38
35,2,12,4,10,1,4,1,0,0,40,38
50,2,13,5,9,4,1,0,0,0,40,29
54,2,9,2,2,0,2,1,0,0,40,38
56,4,9,2,4,0,4,1,0,0,45,38
25,5,14,4,3,1,4,1,0,0,40,38
33,2,12,2,11,0,3,1,0,0,40,23
59,1,13,2,10,0,2,1,0,0,30,38
40,3,9,2,3,0,4,1,0,0,40,38
24,4,9,0,2,1,4,1,0,0,50,38
51,2,5,4,7,4,2,0,0,0,40,38
48,2,13,0,9,1,2,0,0,0,40,38
45,2,13,4,9,1,4,0,0,0,40,38
64,1,9,2,7,0,1,1,0,0,35,38
27,2,9,0,0,4,4,0,0,0,45,38
33,4,9,2,4,0,4,1,0,0,94,38
23,2,11,5,3,3,4,0,0,0,40,38
38,2,13,2,3,0,4,1,0,0,55,38
90,1,9,2,7,0,4,1,6767,0,40,38
38,2,10,0,0,4,4,0,0,0,30,38
55,2,10,2,2,0,2,1,7688,0,40,32
46,3,13,2,3,0,4,1,3103,0,37,38
31,5,13,0,9,1,4,1,0,0,40,38
24,2,9,2,13,0,4,1,0,0,45,38
63,2,5,5,4,1,2,1,0,0,40,38
50,3,10,5,3,4,4,0,0,0,75,38
30,2,9,5,6,1,2,1,0,0,40,38
20,2,10,4,0,3,4,0,0,0,12,38
41,2,9,2,7,0,4,1,0,0,40,38
19,2,10,4,3,3,4,1,0,0,15,38
27,2,11,2,7,0,4,1,0,0,60,38
27,2,13,2,12,5,4,0,0,0,40,38
37,0,12,2,3,5,4,0,0,0,40,38
60,5,13,0,9,1,4,0,0,2339,40,38
53,2,10,2,11,0,4,1,0,0,60,38
40,2,9,2,0,0,4,1,0,0,40,25
30,2,7,2,2,0,4,1,0,0,45,38
28,4,10,2,0,5,4,0,0,0,30,38
32,2,13,2,11,0,4,1,0,0,40,38
47,2,16,2,9,0,4,1,0,0,40,19
53,0,13,2,9,0,4,1,0,0,40,38
33,2,9,2,5,0,4,1,3781,0,40,38
43,1,9,3,4,4,2,1,0,0,40,38
19,2,10,4,7,3,4,0,0,0,15,38
38,2,10,2,3,0,4,1,0,1902,50,38
33,1,9,0,2,4,4,1,0,0,40,38
28,2,12,4,7,1,3,1,0,0,40,38
52,2,9,0,6,3,2,0,0,0,35,38
20,2,9,4,7,2,4,1,0,0,40,38
41,2,10,4,3,1,4,1,0,0,50,38
44,2,10,2,13,0,4,1,0,0,50,38
33,2,5,4,11,4,4,0,0,0,40,38
64,2,10,6,12,4,4,0,0,0,40,38
42,5,10,2,0,0,2,1,0,0,40,38
43,2,9,2,2,0,4,1,0,0,70,38
21,2,3,4,5,1,4,1,0,0,40,25
41,2,10,0,2,1,4,0,0,0,50,38
40,2,9,2,7,0,4,1,0,0,30,38
42,2,13,0,9,4,4,0,0,0,15,38
37,2,13,4,11,1,4,1,0,0,45,38
26,2,9,0,0,1,4,0,0,0,50,38
62,2,16,2,9,0,4,1,15024,0,50,38
56,2,4,2,2,0,4,1,0,0,40,38
30,2,12,4,2,1,4,1,4787,0,50,38
23,2,10,4,8,1,4,0,0,0,6,38
65,2,13,2,0,0,4,1,10605,0,20,38
41,2,9,0,12,4,4,0,0,0,40,38
47,2,11,2,5,0,4,1,0,0,40,38
31,5,13,4,9,1,4,0,0,0,40,38
39,2,11,0,11,4,4,0,0,0,40,38
41,1,14,4,9,1,2,0,0,0,40,38
31,2,13,2,0,0,4,1,7298,0,50,38
44,5,7,5,12,1,2,1,0,0,40,38
44,2,9,4,0,1,4,0,0,0,43,38
47,2,13,2,0,0,4,1,0,0,40,38
44,2,5,2,6,0,2,1,0,0,40,38
40,3,10,2,13,0,4,1,0,0,40,38
38,2,10,0,11,1,4,0,0,0,40,38
64,1,9,0,13,4,4,1,0,0,20,38
42,2,9,2,11,0,4,1,0,0,40,38
45,2,9,2,2,0,4,1,0,0,40,38
50,2,10,2,3,0,4,1,99999,0,50,38
34,2,13,2,11,0,4,1,0,0,45,22
28,2,10,4,2,1,2,1,0,0,40,38
55,2,10,2,12,0,4,1,0,0,50,1
26,2,13,6,3,1,4,0,0,0,55,38
23,2,9,4,11,3,4,1,0,0,40,38
55,5,9,2,4,0,4,1,0,0,40,38
18,5,9,4,0,3,2,1,0,0,15,38
76,2,9,0,0,1,4,0,0,0,8,38
39,3,13,2,9,0,4,1,0,0,50,38
24,5,10,4,6,3,4,0,0,0,40,38
72,2,7,0,7,1,2,0,0,0,35,38
29,2,11,4,0,3,2,0,0,0,40,38
